Application_ID,Application_Type,Industry_Sector,Payload_Min_kg,Payload_Max_kg,Reach_Min_mm,Reach_Max_mm,Repeatability_Required_mm,Speed_Priority,Safety_Classification,Typical_Robot_Types,Cleanroom_Required,ESD_Protection,Budget_Min_USD,Budget_Max_USD,Force_Sensing_Required,IP_Rating_Min,Axes_Min,Cycle_Time_Target_sec
S01,Computer Hard Drive Assembly,Electronics,0.5,3,300,400,0.008,Very High,Hybrid,SCARA; Compact 6-axis,ISO Class 5,Required,15000,28000,No,IP20,4,1.8
S02,Automotive Door Handle Assembly,Automotive,3,10,700,900,0.02,Medium,Collaborative,Cobot; 6-axis,No,Optional,30000,45000,Yes,IP54,6,45
S03,Small Parts Assembly,Electronics,1,5,400,800,0.01,High,Collaborative,Cobot; SCARA,Optional,Optional,20000,45000,No,IP20,4,2.0
S04,Insulin Pen Cartridge Assembly,Medical/Pharmaceutical,0.5,3,400,500,0.012,Very High,Fenced,SCARA Washdown,ISO Class 7,Optional,18000,32000,No,IP65,4,2.2
S05,Industrial Control Panel Wiring,Industrial Equipment,2,10,1000,1400,0.05,Medium,Collaborative,Cobot; 6-axis,No,Optional,35000,50000,Optional,IP54,6,180
S06,Consumer Product Assembly,Consumer Electronics,2,10,500,1000,0.02,High,Collaborative,Cobot; 6-axis,No,Optional,25000,50000,No,IP20,6,30
S07,Precision Watch Component Assembly,Precision Manufacturing,0.1,1,150,300,0.005,Low,Fenced,Ultra-precision SCARA,ISO Class 3,Required,15000,35000,No,IP20,4,10
S08,Precision Instrument Assembly,Precision Manufacturing,0.5,2,300,500,0.005,Medium,Fenced,SCARA; Precision 6-axis,Often,Required,15000,35000,No,IP20,4,6.5
S09,Heavy Electric Motor Assembly,Industrial Equipment,30,60,1500,2000,0.1,Medium,Fenced,Heavy-duty 6-axis,No,Not Required,55000,70000,No,IP54,6,90
S10,Laboratory Sample Handling,Life Sciences,0.5,3,600,900,0.015,Medium,Collaborative,Cobot; Cleanroom 6-axis,ISO Class 5,Optional,30000,40000,No,IP54,6,4
